"","io","TC","dairy","meat","pork","poultry","misslstock"
"318",318,"oserv",0.010403158,0.021431409,0.020301651,0.005280751,0.016724391
"319",319,"oserv",0.001256448,0.002592305,0.002449893,0.000640532,0.002028144
"320",320,"oserv",0.000380392,0.000781706,0.000739758,0.000194707,0.000624044
"321",321,"oserv",0.001152705,0.002370469,0.002240561,0.000584122,0.001856532
"322",322,"oserv",0.021993602,0.009733291,0.011456489,0.007213266,0.012902119
"323",323,"oserv",0.00273191,0.002072576,0.001193902,0.001230113,0.004976754
"324",324,"oserv",0.006835538,0.005180384,0.002987415,0.001219195,0.004961153
"325",325,"oserv",0.000328521,0.001250729,0.000580098,0.000151035,0.000951668
"326",326,"oserv",0.000247831,0.000238737,0.000207558,0.000203806,0.000265219
"327",327,"oserv",0,0,0,0,0
"328",328,"oserv",0.000420737,0.000891567,0.000879904,0.000192888,0.000468033
"329",329,"oserv",0,0,0,7.27878e-05,0
"330",330,"oserv",0.000714677,0.000130988,0.000849746,0.0007115,0
"331",331,"oserv",0.000242068,2.74653e-05,0.000832006,0.000107362,0.000764454
"332",332,"oserv",0,0,0.000243038,4.7312e-05,0
"333",333,"oserv",0,0,0,0,0
"334",334,"oserv",0,0,0,0,0
"335",335,"oserv",0.162819515,0.152299482,0.097717217,0.12593737,0.224203563
"336",336,"oserv",0,0,0,0,0
"337",337,"oserv",0.007602086,0.005514193,0.009208832,0.00820136,0.041249337
"338",338,"oserv",0,0,0,0,0
"339",339,"oserv",0.00446673,0.003236684,0.018137371,0.009819068,0.022262785
"340",340,"oserv",0.012016945,0.011146699,0.005126859,0.009422375,0.018362507
"341",341,"oserv",0,0,0,0,0
"342",342,"facil",0.078000867,0.148639218,0.38502511,0.246453221,0.560475605
"343",343,"oserv",0,0,0,0,0
"344",344,"oserv",0.000230541,0.001871868,0.002471181,0.000205625,0
"345",345,"lmach",0.01173388,0.048381252,0.04984966,0.026282628,0
"346",346,"oserv",0,0,0,0,0
"347",347,"oserv",0,0,0,0,0
"348",348,"oserv",0,0,0,0,0
"349",349,"oserv",0,4.22544e-05,0.000191592,7.09681e-05,0.001232488
"350",350,"oserv",0.001654131,0.002514134,0.002953709,0.000724238,0.005366782
"351",351,"oserv",0,0,0,0,0
"352",352,"oserv",0,0.000242963,0.002731959,0,0.002355768
"353",353,"oserv",0,0,0,0,0
"354",354,"oserv",0.00062246,0.000986639,0.001027146,0.000380316,0.000795657
"355",355,"oserv",0,0,0,0,0
"356",356,"oserv",0.007717357,0.012293904,0.012836661,0.004783975,0.009859902
"357",357,"oserv",0.000328521,0.001007766,0.000447048,0.000189248,0
"358",358,"oserv",6.91623e-05,7.39451e-05,0.000218202,5.45908e-05,0
"359",359,"oserv",0,5.91561e-05,0.000232394,6.73287e-05,0
"360",360,"oserv",0,8.45087e-06,4.2576e-05,1.27379e-05,7.80056e-05
"361",361,"oserv",5.76352e-06,2.11272e-06,7.096e-06,1.81969e-06,1.56011e-05
"362",362,"oserv",0,0,0,0,0
"363",363,"oserv",0,0,0,0,0
"364",364,"oserv",0,0,0,4.1853e-05,0
"365",365,"med",0.091886686,0.015667822,0.003504018,0.029490208,0.132453568
"366",366,"med",0.318353262,0.206629091,0.085684919,0.628362417,0.287390029
"367",367,"med",0.589760051,0.777703087,0.910811063,0.342147375,0.580156403
"368",368,"oserv",0,0,0,0,0
"369",369,"oserv",0,0,0,0,0
"370",370,"oserv",0,0,0,0,0
"371",371,"oserv",0,0,0,0,0
"372",372,"oserv",0,0,0,0,0
"373",373,"oserv",0.000190196,0.000407755,0.000392054,9.82635e-05,0.000312022
"374",374,"oserv",0.000968272,0.001992293,0.001885762,0.000494957,0.001560111
"375",375,"oserv",0,0,0,0,0
"376",376,"oserv",0,0,0.002998059,0.000693303,0.007082904
"377",377,"oserv",0,0,0,0,0
"378",378,"oserv",0.003440823,0.006845205,0.002380707,1.27379e-05,0
"379",379,"oserv",0.062453532,0.011782627,0.01519608,0.023979925,0.044369559
"380",380,"oserv",0,0,0,0,0
"381",381,"oserv",0.000270886,0.000542968,0.00051446,0.000141936,0.000436831
"382",382,"oserv",0,0,0,0,0
"383",383,"oserv",0,0,0,0,0
"384",384,"oserv",0.000224777,0.000447896,0.000415116,0.000109182,0.000358826
"385",385,"TW",0.47187669,0.481294976,0.350312312,0.374272394,0.677590485
"386",386,"TW",0,0,0,-0.001685674,-0.001369043
"387",387,"lcost",1,1,1,1,1
"388",388,"Surplus",1,1,1,1,1
"389",389,"kcost",1,1,1,1,1
"390",390,"TW",0.52812331,0.518705024,0.649687688,0.62741328,0.323778557
