io,TC,rice,barley,bean,potato,vegi,fruit,flower,misscrop,nrice
350,oserv,0.002331808,0,0,0,0.00085018,0,0.005789946,0.000244735,0
351,oserv,0.000861755,0.01190197,0.008554132,0.01480249,0.004552007,0.006064358,0.009104849,0.03570246,0.000163632
352,oserv,0.00017677,0,0,0,8.03856E-05,0.000215942,0.005363653,0.001079712,0
353,oserv,0,0,0,0,0,0,0,0,0
354,oserv,0.00089035,0.002227955,0.00280751,0.001118793,0.001648587,0.002530115,0.03635577,0.001914688,0.000469211
355,oserv,0,0,0,0,0,0,0,0,0.005869074
356,oserv,0.000986534,0.002521107,0.003070714,0.001262228,0.001829795,0.002803641,0.001806972,0.00209464,0.000516526
357,oserv,0,0,0,0,0,0,0.004390179,0.000158358,0.000305578
358,oserv,8.57856E-05,0.00299015,0,0,0.000200283,0.000219541,0.007323327,0.000741402,0.00033515
359,oserv,0.000102683,0.004749062,0,0,0.000249332,0,0.007813246,0.002303385,0.000410066
360,oserv,0,0,0,0,2.72494E-06,0,0,0.000165556,0.000116317
361,oserv,1.29978E-06,0,0,0,1.36247E-06,3.59903E-06,0,2.87923E-05,1.77433E-05
362,oserv,0,0,0,0,0,0,0,0,0
363,oserv,0,0,0,0,0,0,0,0,0
364,oserv,0,0,0,0,0,0,0.002595932,0,0
365,oserv,0,0,0,0,0,0,0.001444305,0,0
366,oserv,0,0,0,0,0.003610541,0.010325604,0.01448759,0,0.001480576
367,oserv,0.000382136,0,0,0,0.000618561,0.003177939,0.021174659,0.005096238,0
368,oserv,0,0,0,0,0,0,0,0,0
369,oserv,0,0,0,0,0,0,0,0,0
370,oserv,0,0,0,0,0,0,0,0,0
371,oserv,0,0,0,0,0,0,0,0,8.28019E-05
372,oserv,0,0,0,0,0,0,0,0,0
373,oserv,0.000183269,0,0,0,0.000243882,0.000896157,0.000661708,0.000208744,4.73153E-05
374,oserv,0.000879952,0.002169325,0.002763643,0.001204854,0.001207147,0.00431883,0.003187652,0.001194881,0.000266149
375,oserv,0,0,0,0,0,0,0,0,7.0973E-05
376,oserv,0,0,0,0,0.002013728,0.003955329,0.007635093,0,2.36577E-05
377,oserv,0,0,0,0,0,0,0,0,0
378,oserv,0,0.01037758,0.009606949,0.002840013,2.58869E-05,0.001936276,0.001953311,0.001094108,4.92868E-05
379,oserv,0.000142976,0,0,0,0.000245244,0.000863766,0.002016937,0.009292717,0
380,oserv,0,0,0,0,0,0,0.000299041,0,0
381,oserv,0.00024046,0.000527674,0.000701878,0.000344244,0.00033108,0.001176881,0.000865311,0.000273527,7.68874E-05
382,oserv,0,0,0,0,0,0,0,0,0
383,oserv,0,0,0,0,0,0,0,0,0
384,oserv,0.000194967,0,0.000701878,0,0.000271131,0.000946544,0.000693521,0.000215942,5.32298E-05
385,TW,0.14730194,0.159833398,0.063268455,0.117638347,0.633169868,0.582009523,0.477638759,0.220897226,0.791078666
386,TW,0,0,0,0,-0.000654854,0,0,0,-0.000212211
387,lcost,1,1,1,1,1,1,1,1,1
388,Surplus,1,1,1,1,1,1,1,1,1
389,kcost,1,1,1,1,1,1,1,1,1
390,TW,0.85269806,0.840166602,0.936731545,0.882361653,0.367484987,0.417990477,0.522361241,0.779102774,0.209133544
