TC,io,rice,barley,bean,potato,vegi,fruit,flower,misscrop,dairy,meat,pork,poultry,misslstock
oinput,141,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,142,0,0,0,0,0,0,0,0,0,0,0,0,0.134266807
oinput,143,0,0,0,0,0,0,0,0,0,0,0,0,0.160487197
oinput,144,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,145,0,0,0,0,0,0,0.00039164,0,0,0,0,0,0
oinput,146,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,147,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,148,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,149,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,150,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,151,0.000597032,0.013128835,0,0,0.000628496,0.00308658,0,0.004552312,0,0.000211248,0.008753836,0.002233378,0.002263355
oinput,152,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,153,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,154,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,155,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,156,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,157,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,158,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,159,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,160,0,0,0,0,0,0,0,0,0.100578259,0.156894091,0.023695729,0.009732609,0.027524696
oinput,161,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,162,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,163,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,164,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,165,0,0,0,0,0.003523334,0.003591571,0.120438281,0,0.001251719,0.000536683,0.004266237,0.00555271,0
oinput,166,0,0,0,0,0,0,0,0,0.003578858,0.005469597,0.0018212,0,0
oinput,167,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,168,0,0,0,0,0.000112719,0.000122708,0.000471748,0,0.000634674,0.000919212,0.000603713,0,0
oinput,169,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,170,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,171,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,172,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,173,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,174,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,175,0,0,0,0,0,0,0.00272368,0.00234958,0,0,0,0,0
oinput,176,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,177,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,178,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,179,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,180,0,0,0,0,0,0,0.001708976,0,0,0.00037682,0.000684208,0.002417785,0
oinput,181,0,0,0,0,0.000198113,0,0,0,0,0.00225521,0.007284802,0,0
oinput,182,0,0,0,0,0,0,0,0,0,0.000148444,0,0,0
oinput,183,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,184,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,185,0.000141696,9.15E-05,0,0,0.000249349,0,0,0,0.00222136,0.003585498,0.000684208,0.003688147,0
oinput,192,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,193,0.001726875,0.000635868,0,0,0,0,0,0,0.017982441,0.070311162,0.006439604,0.003380801,0
oinput,194,0,0,0,0,0,0,0.000222523,0,0.001004901,0.00037111,0.000734517,0.001085954,0
oinput,195,0.000492206,0.000317934,0,0,0,0,0,0,0.019057861,0.027336569,0.00080495,0.001147423,0
oinput,196,0.000642958,0,0,0,0,0,0,0,0,0,0,0,0
oinput,197,0,0,0,0,0,0,0,0,0,0,0.003582029,0.001065465,0
oinput,198,0,0,0,0,0,0,0,0,0.002908924,0.004059378,0.005101373,0.010244852,0
oinput,199,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,200,0,0,0,0,0,0,0,0,0,0,0.000764703,0,0
oinput,202,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,203,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,204,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,205,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,206,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,207,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,208,0.008725469,0.005636101,0,0,0,0,0,0,0.000758083,0,0,0,0
oinput,209,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,210,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,211,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,212,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,213,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,214,0.000633902,0.00040946,0,0,0.000420136,0,0,0,0,0,0.006067314,0.0013933,0
oinput,215,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,216,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,217,0,0,0,0,0,0,0,0,0,0,0.001328168,0,0
oinput,218,0,0,0,0,0,0,0,0,0,0,0.002273985,0,0
oinput,219,0,0,0,0,0.000261304,0.001883097,0,0,0.000634674,0.000959178,0.00048297,0,0
oinput,220,0,0,0,0,0,6.61E-05,0,0,0.004724798,0.006685698,0.005483725,0.006372298,0
oinput,221,0,0,0,0,0,0.000330368,0,0,0.002908924,0.002477876,0.003712834,0.001700645,0
oinput,222,0,0,0,0,0,0.001463058,0,0,0.010895243,0.019217813,0.01664235,0.006413277,0
oinput,223,0,0,0,0,0,0,0,0,0.002609217,0.001775621,0.003451225,0.004323328,0
oinput,224,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,225,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,226,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,227,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,228,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,229,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,230,0,0,0,0,0,0,0,0,0,0.000199829,0.00080495,0,0
oinput,231,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,232,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,233,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,234,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,235,0.005132785,0.001204295,0,0,0.001103283,0,0,0.008183481,0,0.000491008,0.00198219,0.002540723,0
oinput,236,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,237,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,238,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,239,0,0,0,0,0,0,0,0,0,6.28E-05,8.05E-05,0,0
oinput,240,0,0,0,0,0,0,0,0,0.007457424,0.002700542,0,0,0
oinput,241,8.42E-05,0,0,0,6.32E-05,0,0,0,0,0,0,0,0
oinput,242,0,0,0,0,0.000338158,0,0,0,0.001498537,0.006548673,0.002928007,0.00344227,0
oinput,243,0,0,0,0,0,0,0,0,0.008497585,0.000833571,0.002787141,0,0
oinput,244,0.00022373,0.000144515,0,0,0,0.000287892,0.038923701,0.006781743,0.009502486,0.112446474,0,0.000553222,0
oinput,245,0,0,0,0,0,0,0.027308007,0.005019558,0.011053912,0.051213246,0.002364542,0.000778609,0
oinput,246,0,0,0,0,0,0,0,0,0,0.001604339,0.004195804,0,0
oinput,247,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,248,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,249,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,250,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,251,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,252,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,253,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,254,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,255,0.003039856,0.000910447,0.12350511,0,0.003412322,0.024744555,0.001468651,0.007515986,0.030693558,0.009083643,0.045016854,0.001782604,0.000306896
oinput,256,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,257,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,258,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,259,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,260,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,261,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,263,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,264,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,265,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,266,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,267,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,268,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,269,0.000233546,9.15E-05,0,0,5.12E-05,8.97E-05,0.000436145,5.34E-05,0.000511265,0.000713674,0.001458973,0.000430284,0
oinput,270,0.000145431,0,0,0,4.78E-05,0.000184062,0,0,0,0.000205538,0.000362228,0,0
oinput,271,0.000887894,0,0,0,0.00016054,0,0,0,0.001745355,0.000913503,0.001006188,0.00069665,0
oinput,272,0,0,0,0,0,0,0,0,0.000775713,0.001792749,0.00037229,0,0
oinput,287,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,288,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,290,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,291,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,292,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,293,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,294,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,296,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,297,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,298,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,299,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,300,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,301,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,25,0.41938176,0.239829387,0.320275487,0.287816633,0.427389974,0.173645777,0.058497541,0.064761096,0.13586352,0.096639934,0.106454165,0.045417738,0
oserv,273,0.159955124,0.177103644,0,0,0,0,0,0,0,0,0,0,0
oserv,282,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,283,7.94E-05,8.79E-05,0,0,0,0,0,0,0,0.000462685,0,0.000738796,0.001216887
oserv,284,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,285,0.000463421,0.000513104,0,0,0,0,0.00061717,0.000208744,0,0.004705022,0.00010644,0.002212748,0.002137352
oserv,286,0,0,0,0,0,0,0.015842819,0,0,0.001950038,0.004115679,0,0.006490062
oserv,302,0.13017903,0.166303596,0.111159853,0.279899022,0.118598783,0.235541815,0.248967672,0.130436347,0.375078528,0.481228503,0.522991034,0.545396812,0.317810228
oserv,303,0.029376554,0.054738686,0.06527461,0.081356321,0.180397623,0.166498112,0.218319134,0.211026014,0.075133281,0.082176268,0.065494289,0.118256442,0.076492246
oserv,304,3.70E-05,4.10E-05,0,0,0,0,0,8.64E-05,0.000789603,0.002053562,0.00049672,8.73E-05,0.002074948
oserv,305,4.75E-06,0,0,0,1.77E-05,1.44E-05,1.27E-05,7.20E-06,0,0,0,0,0
oserv,306,0.000116433,0.000128916,0,0,0.000291568,0.000273526,0.010962722,0.000122367,0.001394772,0.004738826,0.005485207,0.000691484,0.006833287
oserv,307,0.069664772,0.081003031,0.016757326,0.031268826,0.01300476,0.008497299,0.024794966,0.022645149,0.022443157,0.024494849,0.016938148,0.030530823,0.058519767
oserv,308,0.000631482,0.002130057,0.005088612,0.004417797,0.001347481,0.001104901,0.011503541,0.003858169,0.005924901,0.003437392,0.002982093,0.000667828,0.03188867
