"","demand","sum.value.","share","dist","basecode","base_rowname"
"12","X120",57675.78,0.000384821575388501,0.981595971866089,120,"합성고무"
"72","X180",57384.2,0.000382876109285541,0.981978847975374,180,"금속제 탱크 및 압력용기"
"200","X70",57168.35,0.000381435925259463,0.982360283900634,70,"직물제품"
"164","X272",56539.63,0.00037724100980486,0.982737524910439,272,"기타 제조업제품"
"155","X263",55601.59,0.00037098226426943,0.983108507174708,263,"목재 가구"
"136","X244",55225.04,0.000368469865404386,0.983476977040113,244,"측정 및 분석기"
"179","X49",54010.49,0.000360366203097815,0.98383734324321,49,"조미료 및 첨가용식품"
"8","X116",53337.04,0.000355872842280755,0.984193216085491,116,"산업용 가스"
"90","X198",53030.81,0.000353829629149849,0.984547045714641,198,"공기 및 액체 여과기"
"47","X155",52120.3,0.000347754567961132,0.984894800282602,155,"석면 및 암면"
"108","X216",48326.85,0.000322444092660104,0.985217244375262,216,"전기변환장치"
"54","X162",47867.4,0.000319378572387778,0.98553662294765,162,"선재 및 궤조"
"226","X96",47230.59,0.000315129679222862,0.985851752626873,96,"기타 종이제품"
"181","X51",47184.2,0.000314820158087955,0.986166572784961,51,"과실 및 채소 가공품"
"225","X95",45956.73,0.000306630291576533,0.986473203076537,95,"위생용 종이제품"
