"","ELEC","GAS","HEAT","Gasoline","Jetoil","Diesel","Kerosene","Fueloil","LPG","Oilpro","CoalPro","Coal","Oil","LNG","Mining","IS","Cement","Chemistry","WoodPaper","FiberLeather","Mineral","nonISmetal","Machine","Electronics","Semidis","Auto","Ship","Food","MissManu","Const","Rail","Road","Air","Marine","MissTrans","Housing","Commercial","Public","Rice","Barley","Bean","Potato","Vegi","Fruit","Flower","MissCrop","Dairy","Meat","Pork","Poultry","MissLstock","FF","Waste","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"CoalPro",0,0,0,0,0,0,0,0,0,0,3503,0,0,0,0,6332665,75618,76634,0,0,12928,23130,0,0,0,0,0,0,108,10891,0,0,0,0,27989,0,100594,10848,0,0,0,0,44570,1618,37687,0,0,0,13268,689,1602,3917,0,6778259,81243,0,0,0,28910,0,22948,133101,6911360,482658,6117273,311429,0,6911360,0,0,0,0,0,0,6911360
"Coal",8892316,0,469276,0,0,0,0,0,0,0,5043331,0,0,0,0,881246,771771,61410,0,0,0,24893,0,0,0,0,0,0,658,0,0,0,0,0,0,0,4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16149637,0,0,0,0,-938352,0,742,-937610,15212027,312412,0,14899615,0,15212027,0,0,0,0,0,0,15212027
"Oil",0,0,0,10206702,9129470,25867226,4178753,9571879,2653412,17319013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78926455,0,0,0,0,199833,0,0,199833,79126288,35521,0,79090767,0,79126288,0,0,0,0,0,0,79126288
"LNG",0,19342457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19342457,0,0,0,0,455704,0,0,455704,19798161,202007,0,19596154,0,19798161,0,0,0,0,0,0,19798161
"Mining",529,0,796,0,0,0,0,0,0,6124,0,0,0,0,0,8630249,1464137,715884,32615,4069,509952,7912514,28889,4171,34262,3699,147,14985,20219,1108735,0,0,0,0,0,0,12972,2506,0,0,0,0,0,0,89,261,129,39,0,0,0,183,0,20508155,10370,0,0,0,-213322,0,138554,-64398,20443757,3238084,0,17205673,0,20443757,0,0,0,0,0,0,20443757
"IS",43132,13391,3710,15756,10318,32251,3719,10500,5627,26019,11275,5483,446,2061,3163,96759572,684414,888586,31431,42067,9694,3478492,29139272,3268638,1479016,5574088,9291734,3732,1412420,14670992,339,2314,9714,13088,29142,0,412011,31943,0,0,0,0,2129,787,13584,0,6015,28693,3020,746,1435,4425,19531,167499915,7589,0,0,0,2528823,0,28118052,30654464,198154379,99745377,62275833,31369194,4763975,198154379,0,0,0,0,0,0,198154379
"Cement",1442,0,0,854,67,693,0,465,252,8124,22182,0,0,49,546,628365,2933856,94482,75617,8422,252063,107354,241158,324277,356373,74334,48401,2600,72680,14946082,0,0,7512,0,625,0,43561,31982,78,70,0,0,368,654,0,341,0,37,870,109,118,564,35940,20323567,73801,0,0,0,-22762,0,789306,840345,21163912,18999218,0,1841893,322801,21163912,0,0,0,0,0,0,21163912
"Chemistry",1689106,39034,14507,254979,134264,443678,93274,73404,84844,998786,124848,8893,19,0,107103,1539552,635791,94062581,2692845,7012071,1552885,418033,8227624,8946430,17958500,10490396,1768581,2766367,3461545,7683106,1168,1240289,75759,90171,657707,0,24089029,1421514,632782,16615,20338,33103,1398465,507677,175203,134886,26974,63253,51012,26997,6669,287862,760450,205000969,7452985,0,0,0,-1448131,0,64930537,70935391,275936360,202104080,17085006,55401153,1346121,275936360,0,0,0,0,0,0,275936360
"WoodPaper",101206,4195,2177,11377,14647,44235,2747,4848,4951,34044,8377,3584,0,17,5017,248387,190622,1508744,13160537,667865,298529,130985,918445,917281,935665,368912,190582,1823109,1957929,2591552,2397,28995,1563,20957,659821,0,10529700,1609363,15418,15,26,5191,134042,103996,1616,16402,1418,1293,4212,15278,16323,189271,155919,39663782,883464,0,0,0,-894832,0,3468273,3456905,43120687,35573820,0,6826654,720213,43120687,0,0,0,0,0,0,43120687
"FiberLeather",95361,7175,1540,6133,1446,11059,2652,3453,2986,7772,8550,1095,20,98,3176,193635,92661,1479415,362070,21047552,23357,31124,396583,221890,521631,609893,196462,145177,2081956,499187,5362,175287,1437,53507,697067,0,4167289,499424,33466,1187,955,15,86341,5138,1054,17986,439,1941,3983,2664,1857,229588,232152,34273248,22450772,0,113871,3698,2376241,0,23672851,48617433,82890681,65696319,0,17165075,29287,82890681,0,0,0,0,0,0,82890681
"Mineral",52312,0,0,6141,495,3390,936,2154,2155,1855,51420,0,0,0,0,598900,50535,775904,8335,5331,3081746,81805,342218,860131,11722193,612971,288561,482782,275915,2747654,1007,1883,94,1576,23278,0,545643,36896,0,0,0,0,0,0,44,0,0,0,0,0,15367,469,136587,22818683,286738,0,0,0,525983,0,1007449,1820170,24638853,16895675,0,7506041,237137,24638853,0,0,0,0,0,0,24638853
"nonISmetal",28633,2387,1369,8973,3641,17684,3377,6219,3593,21624,4363,467,0,0,222,1618222,19445,1705649,40920,10353,105707,17376709,10274516,9719401,4359199,2642835,786435,4567,1157277,1389198,34,0,31687,0,11754,0,275911,182716,0,0,0,0,0,0,306,176,0,0,0,0,0,2204,684512,52502285,19322,0,0,0,-88699,179483,13583012,13693118,66195403,43461004,0,21205691,1528708,66195403,0,0,0,0,0,0,66195403
