basecode_row,sector_row,basecode_column,sector_row,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict
349,PubSer,349,PubSer,,,,,,,,
350,BusiSer,350,BusiSer,,,,,,,,
351,BusiSer,351,BusiSer,,,,,,,,
352,BusiSer,352,BusiSer,,,,,,,,
353,BusiSer,353,BusiSer,,,,,,,,
354,BusiSer,354,BusiSer,,,,,,,,
355,BusiSer,355,BusiSer,,,,,,,,
356,BusiSer,356,BusiSer,,,,,,,,
357,BusiSer,357,BusiSer,,,,,,,,
358,BusiSer,358,BusiSer,,,,,,,,
359,BusiSer,359,BusiSer,,,,,,,,
360,PubSer,360,PubSer,,,,,,,,
361,PubSer,361,PubSer,,,,,,,,
362,PubSer,362,PubSer,,,,,,,,
363,PubSer,363,PubSer,,,,,,,,
364,PubSer,364,PubSer,,,,,,,,
365,PubSer,365,PubSer,,,,,,,,
366,PubSer,366,PubSer,,,,,,,,
367,PubSer,367,PubSer,,,,,,,,
368,PubSer,368,PubSer,,,,,,,,
369,PubSer,369,PubSer,,,,,,,,
370,PubSer,370,PubSer,,,,,,,,
371,PubSer,371,PubSer,,,,,,,,
372,BusiSer,372,BusiSer,,,,,,,,
373,BusiSer,373,BusiSer,,,,,,,,
374,BusiSer,374,BusiSer,,,,,,,,
375,BusiSer,375,BusiSer,,,,,,,,
376,BusiSer,376,BusiSer,,,,,,,,
377,BusiSer,377,BusiSer,,,,,,,,
378,BusiSer,378,BusiSer,,,,,,,,
379,BusiSer,379,BusiSer,,,,,,,,
380,BusiSer,380,BusiSer,,,,,,,,
381,BusiSer,381,BusiSer,,,,,,,,
382,BusiSer,382,BusiSer,,,,,,,,
383,BusiSer,383,BusiSer,,,,,,,,
384,BusiSer,384,BusiSer,,,,,,,,
385,idinput1,385,Dint,,,,,,,,
386,PTAXin,386,Final_Pc,,,,,,,,
387,Resin,387,Final_Gc,,,,,,,,
388,idinput2,388,Final_Pk,,,,,,,,
389,labor,389,Final_Gk,,,,,,,,
390,surplus,390,Final_St,,,,,,,,
391,dep,391,Gold,,,,,,,,
392,PTAXetc,392,Final_Ex,,,,,,,,
393,VA,393,Final_Tot,,,,,,,,
394,Tinput,394,Dtotal,,,,,,,,
,,395,Qtotal,,,,,,,,
,,396,Qself,,,,,,,,
,,397,Imp,,,,,,,,
,,398,Resout,,,,,,,,
,,399,Stotal_b,,,,,,,,
,,400,PTAXd,,,,,,,,
,,401,PTAXim,,,,,,,,
,,402,Psub,,,,,,,,
,,403,Cmargin,,,,,,,,
,,404,Tmargin,,,,,,,,
,,405,Contotal,,,,,,,,
,,406,Stotal_p,,,,,,,,
