,basecode,basename,s_code,s_name,m_code,m_name,b_code,b_name
190,190,금속포장용기,66,기타 금속제품,31,금속제품,10,금속제품
191,191,기타 금속제품,66,기타 금속제품,31,금속제품,10,금속제품
192,192,내연기관 및 터빈,67,내연기관 및 터빈,32,일반목적용기계,11,기계 및 장비
193,193,펌프 및 압축기,68,펌프 및 압축기,32,일반목적용기계,11,기계 및 장비
194,194,밸브,69,일반목적용기계 부품,32,일반목적용기계,11,기계 및 장비
195,195,"베어링, 기어 및 동력전달장치",69,일반목적용기계 부품,32,일반목적용기계,11,기계 및 장비
196,196,산업용 운반기계,70,산업용 운반기계,32,일반목적용기계,11,기계 및 장비
197,197,공기조절 장치 및 냉장 냉동 장비,71,공기 및 액체 조절장치,32,일반목적용기계,11,기계 및 장비
198,198,공기 및 액체 여과기,71,공기 및 액체 조절장치,32,일반목적용기계,11,기계 및 장비
199,199,사무용 기기,72,기타 일반목적용기계,32,일반목적용기계,11,기계 및 장비
200,200,기타 일반목적용기계,72,기타 일반목적용기계,32,일반목적용기계,11,기계 및 장비
201,201,농업용 기계,73,농업 및 건설용 기계,33,특수목적용기계,11,기계 및 장비
202,202,건설 및 광산용 기계,73,농업 및 건설용 기계,33,특수목적용기계,11,기계 및 장비
203,203,금속 절삭기계,74,금속가공용 기계,33,특수목적용기계,11,기계 및 장비
204,204,금속 성형기계,74,금속가공용 기계,33,특수목적용기계,11,기계 및 장비
205,205,금형 및 주형,75,금형 및 주형,33,특수목적용기계,11,기계 및 장비
206,206,반도체 제조용 기계,76,반도체 및 디스플레이 ,33,특수목적용기계,11,기계 및 장비
207,207,디스플레이 제조용 기계,76,반도체 및 디스플레이 ,33,특수목적용기계,11,기계 및 장비
208,208,음식료품 가공기계,77,기타 특수목적용기계,33,특수목적용기계,11,기계 및 장비
209,209,섬유 및 의복 가공기계,77,기타 특수목적용기계,33,특수목적용기계,11,기계 및 장비
210,210,산업용 로봇,77,기타 특수목적용기계,33,특수목적용기계,11,기계 및 장비
211,211,제지 및 인쇄기계,77,기타 특수목적용기계,33,특수목적용기계,11,기계 및 장비
212,212,고무 및 플라스틱 성형기계,77,기타 특수목적용기계,33,특수목적용기계,11,기계 및 장비
213,213,기타 특수목적용기계,77,기타 특수목적용기계,33,특수목적용기계,11,기계 및 장비
214,214,발전기 및 전동기,78,발전기 및 전동기,34,전기장비,12,전기 및 전자기기
215,215,변압기,79,전기변환.공급제어장치,34,전기장비,12,전기 및 전자기기
216,216,전기변환장치,79,전기변환.공급제어장치,34,전기장비,12,전기 및 전자기기
217,217,전기회로 개폐 및 접속장치,79,전기변환.공급제어장치,34,전기장비,12,전기 및 전자기기
218,218,배전반 및 전기자동제어반,79,전기변환.공급제어장치,34,전기장비,12,전기 및 전자기기
219,219,전지,80,전지,34,전기장비,12,전기 및 전자기기
220,220,전선 및 케이블,81,기타 전기장치,34,전기장비,12,전기 및 전자기기
221,221,전구 및 램프,81,기타 전기장치,34,전기장비,12,전기 및 전자기기
222,222,조명장치,81,기타 전기장치,34,전기장비,12,전기 및 전자기기
223,223,기타 전기장비,81,기타 전기장치,34,전기장비,12,전기 및 전자기기
224,224,개별소자,82,반도체,35,반도체,12,전기 및 전자기기
225,225,집적회로,82,반도체,35,반도체,12,전기 및 전자기기
226,226,LCD 평판 디스플레이,83,전자표시장치,36,전자표시장치,12,전기 및 전자기기
227,227,기타 전자표시장치,83,전자표시장치,36,전자표시장치,12,전기 및 전자기기
228,228,인쇄회로기판 및 실장기판,84,인쇄회로기판,37,기타 전자부품,12,전기 및 전자기기
229,229,"축전기, 저항기, 전자코일 및 변성기",85,기타 전자부품,37,기타 전자부품,12,전기 및 전자기기
230,230,기타 전자부품,85,기타 전자부품,37,기타 전자부품,12,전기 및 전자기기
231,231,컴퓨터,86,컴퓨터 및 주변기기,38,컴퓨터 및 주변기기,12,전기 및 전자기기
232,232,컴퓨터 기억장치,86,컴퓨터 및 주변기기,38,컴퓨터 및 주변기기,12,전기 및 전자기기
233,233,컴퓨터 주변기기,86,컴퓨터 및 주변기기,38,컴퓨터 및 주변기기,12,전기 및 전자기기
234,234,유선통신기기,87,통신 및 방송장비,39,"통신, 방송 및 영상, ",12,전기 및 전자기기
235,235,이동전화기,87,통신 및 방송장비,39,"통신, 방송 및 영상, ",12,전기 및 전자기기
236,236,기타 무선통신장비 및 방송장비,87,통신 및 방송장비,39,"통신, 방송 및 영상, ",12,전기 및 전자기기
237,237,TV,88,영상 및 음향기기,39,"통신, 방송 및 영상, ",12,전기 및 전자기기
238,238,영상기기,88,영상 및 음향기기,39,"통신, 방송 및 영상, ",12,전기 및 전자기기
239,239,오디오 및 음향기기,88,영상 및 음향기기,39,"통신, 방송 및 영상, ",12,전기 및 전자기기
240,240,가정용 냉장고 및 냉동고,89,가정용 전기기기,40,가정용 전기기기,12,전기 및 전자기기
241,241,주방용 및 난방용 전기기기,89,가정용 전기기기,40,가정용 전기기기,12,전기 및 전자기기
242,242,기타 가정용 전기기기,89,가정용 전기기기,40,가정용 전기기기,12,전기 및 전자기기
243,243,의료용 기기,90,의료 및 측정기기,41,정밀기기,13,정밀기기
244,244,측정 및 분석기,90,의료 및 측정기기,41,정밀기기,13,정밀기기
245,245,자동조정 및 제어기기,90,의료 및 측정기기,41,정밀기기,13,정밀기기
246,246,사진기 및 영사기,91,기타 정밀기기,41,정밀기기,13,정밀기기
247,247,안경 및 기타광학기기,91,기타 정밀기기,41,정밀기기,13,정밀기기
248,248,시계,91,기타 정밀기기,41,정밀기기,13,정밀기기
249,249,승용차,92,자동차 ,42,자동차,14,운송장비
250,250,버스,92,자동차 ,42,자동차,14,운송장비
251,251,트럭,92,자동차 ,42,자동차,14,운송장비
252,252,특장차,93,특장차 및 트레일러,42,자동차,14,운송장비
253,253,트레일러 및 컨테이너,93,특장차 및 트레일러,42,자동차,14,운송장비
254,254,자동차용 엔진,94,자동차 부품,42,자동차,14,운송장비
255,255,자동차 부분품,94,자동차 부품,42,자동차,14,운송장비
256,256,강철제 선박,95,선박,43,선박,14,운송장비
257,257,기타 선박,95,선박,43,선박,14,운송장비
258,258,선박 수리 및 부분품,95,선박,43,선박,14,운송장비
259,259,철도차량,96,철도차량,44,기타 운송장비,14,운송장비
260,260,항공기,97,항공기,44,기타 운송장비,14,운송장비
261,261,모터사이클,98,기타 운송장비,44,기타 운송장비,14,운송장비
262,262,기타 운수장비,98,기타 운송장비,44,기타 운송장비,14,운송장비
263,263,목재 가구,99,가구,45,기타 제조업 제품 및,15,기타 제조업 제품 및
264,264,금속 가구,99,가구,45,기타 제조업 제품 및,15,기타 제조업 제품 및
265,265,기타 가구,99,가구,45,기타 제조업 제품 및,15,기타 제조업 제품 및
266,266,장난감 및 오락용품,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
267,267,운동 및 경기용품,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
268,268,악기,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
269,269,문방구,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
270,270,귀금속 및 보석,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
271,271,모형 및 장식용품,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
272,272,기타 제조업제품,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
273,273,제조임가공서비스,100,기타 제조업 제품 및,45,기타 제조업 제품 및,15,기타 제조업 제품 및
